,pick,team,plyr,pos,author,site
0,1,cincinnati bengals,Joe Burrow,QB,consensus,nflmockdraftdatabase
1,2,washington redskins,Chase Young,DL,consensus,nflmockdraftdatabase
2,3,detroit lions,Jeffrey Okudah,CB,consensus,nflmockdraftdatabase
3,4,new york giants,Isaiah Simmons,LB/S,consensus,nflmockdraftdatabase
4,5,miami dolphins,Tua Tagovailoa,QB,consensus,nflmockdraftdatabase
5,6,los angeles chargers,Justin Herbert,QB,consensus,nflmockdraftdatabase
6,7,carolina panthers,Derrick Brown,DL,consensus,nflmockdraftdatabase
7,8,arizona cardinals,Jedrick Wills Jr.,OT,consensus,nflmockdraftdatabase
8,9,jacksonville jaguars,Javon Kinlaw,DL,consensus,nflmockdraftdatabase
9,10,cleveland browns,Mekhi Becton,OT,consensus,nflmockdraftdatabase
10,11,new york jets,CeeDee Lamb,WR,consensus,nflmockdraftdatabase
11,12,las vegas raiders,Jerry Jeudy,WR,consensus,nflmockdraftdatabase
12,13,san francisco 49ers,Henry Ruggs III,WR,consensus,nflmockdraftdatabase
13,14,tampa bay buccaneers,Andrew Thomas,OL,consensus,nflmockdraftdatabase
14,15,denver broncos,Kristian Fulton,CB,consensus,nflmockdraftdatabase
15,16,atlanta falcons,K'Lavon Chaisson,EDGE,consensus,nflmockdraftdatabase
16,17,dallas cowboys,C.J. Henderson,CB,consensus,nflmockdraftdatabase
17,18,miami dolphins,Josh Jones,OT,consensus,nflmockdraftdatabase
18,19,las vegas raiders,Kenneth Murray,LB,consensus,nflmockdraftdatabase
19,20,jacksonville jaguars,Trevon Diggs,CB,consensus,nflmockdraftdatabase
20,21,philadelphia eagles,Justin Jefferson,Wide Receiver,consensus,nflmockdraftdatabase
21,22,minnesota vikings,Tee Higgins,WR,consensus,nflmockdraftdatabase
22,23,new england patriots,Jordan Love,QB,consensus,nflmockdraftdatabase
23,24,new orleans saints,Patrick Queen,LB,consensus,nflmockdraftdatabase
24,25,minnesota vikings,Jeff Gladney,CB,consensus,nflmockdraftdatabase
25,26,miami dolphins,D'Andre Swift,RB,consensus,nflmockdraftdatabase
26,27,seattle seahawks,Yetur Gross-Matos,EDGE,consensus,nflmockdraftdatabase
27,28,baltimore ravens,Zack Baun,OLB,consensus,nflmockdraftdatabase
28,29,tennessee titans,Terrell Lewis,LB,consensus,nflmockdraftdatabase
29,30,green bay packers,Denzel Mims,WR,consensus,nflmockdraftdatabase
30,31,san francisco 49ers,Xavier McKinney,DB,consensus,nflmockdraftdatabase
31,32,kansas city chiefs,A.J. Terrell,CB,consensus,nflmockdraftdatabase
