PICK,PLYR,TEAM,POS,AUTHOR,SITE
1,Joe Burrow,Cincinnati Bengals,QB,todd mcshay,ESPN
2,Chase Young,Washington Redskins,DE,todd mcshay,ESPN
3,Jeff Okudah,Detroit Lions,CB,todd mcshay,ESPN
4,Isaiah Simmons,New York Giants,OLB,todd mcshay,ESPN
5,Tua Tagovailoa,Miami Dolphins,QB,todd mcshay,ESPN
6,Jordan Love,Los Angeles Chargers,QB,todd mcshay,ESPN
7,Derrick Brown,Carolina Panthers,DT,todd mcshay,ESPN
8,Tristan Wirfs,Arizona Cardinals,OT,todd mcshay,ESPN
9,Justin Herbert,Jacksonville Jaguars,QB,todd mcshay,ESPN
10,Jedrick Wills Jr.,Cleveland Browns,OT,todd mcshay,ESPN
11,Jerry Jeudy,New York Jets,WR,todd mcshay,ESPN
12,CeeDee Lamb,Las Vegas Raiders,WR,todd mcshay,ESPN
13,Henry Ruggs III,San Francisco 49ers,WR,todd mcshay,ESPN
14,Mekhi Becton,Tampa Bay Buccaneers,OT,todd mcshay,ESPN
15,Andrew Thomas,Denver Broncos,OT,todd mcshay,ESPN
16,Javon Kinlaw,Atlanta Falcons,DT,todd mcshay,ESPN
17,CJ Henderson,Dallas Cowboys,CB,todd mcshay,ESPN
18,Xavier McKinney,Miami Dolphins,S,todd mcshay,ESPN
19,Antoine Winfield Jr.,Las Vegas Raiders,S,todd mcshay,ESPN
20,Brandon Aiyuk,Jacksonville Jaguars,WR,todd mcshay,ESPN
21,Patrick Queen,Philadelphia Eagles,ILB,todd mcshay,ESPN
22,Justin Jefferson,Minnesota Vikings,WR,todd mcshay,ESPN
23,A.J. Epenesa,New England Patriots,DE,todd mcshay,ESPN
24,Kenneth Murray,New Orleans Saints,ILB,todd mcshay,ESPN
25,Trevon Diggs,Minnesota Vikings,CB,todd mcshay,ESPN
26,Josh Jones,Miami Dolphins,OT,todd mcshay,ESPN
27,K'Lavon Chaisson,Seattle Seahawks,DE,todd mcshay,ESPN
28,Ross Blacklock,Baltimore Ravens,DT,todd mcshay,ESPN
29,Yetur Gross-Matos,Tennessee Titans,DE,todd mcshay,ESPN
30,Tee Higgins,Green Bay Packers,WR,todd mcshay,ESPN
31,A.J. Terrell,San Francisco 49ers,CB,todd mcshay,ESPN
32,D'Andre Swift,Kansas City Chiefs,RB,todd mcshay,ESPN
33,Austin Jackson,Cincinnati Bengals,OT,todd mcshay,ESPN
34,Michael Pittman Jr.,Indianapolis Colts,WR,todd mcshay,ESPN
35,Cesar Ruiz,Detroit Lions,C,todd mcshay,ESPN
36,Denzel Mims,New York Giants,WR,todd mcshay,ESPN
37,Zack Baun,Los Angeles Chargers,OLB,todd mcshay,ESPN
38,Kristian Fulton,Carolina Panthers,CB,todd mcshay,ESPN
39,J.K. Dobbins,Miami Dolphins,RB,todd mcshay,ESPN
40,Justin Madubuike,Houston Texans,DT,todd mcshay,ESPN
41,Grant Delpit,Cleveland Browns,S,todd mcshay,ESPN
42,Neville Gallimore,Jacksonville Jaguars,DT,todd mcshay,ESPN
43,Damon Arnette,Chicago Bears,CB,todd mcshay,ESPN
44,Cole Kmet,Indianapolis Colts,TE,todd mcshay,ESPN
45,Jeremy Chinn,Tampa Bay Buccaneers,S,todd mcshay,ESPN
46,Laviska Shenault Jr.,Denver Broncos,WR,todd mcshay,ESPN
47,Jonathan Taylor,Atlanta Falcons,RB,todd mcshay,ESPN
48,Marlon Davidson,New York Jets,DE,todd mcshay,ESPN
49,Jacob Eason,Pittsburgh Steelers,QB,todd mcshay,ESPN
50,Jalen Reagor,Chicago Bears,WR,todd mcshay,ESPN
51,Josh Uche,Dallas Cowboys,DE,todd mcshay,ESPN
52,Clyde Edwards-Helaire,Los Angeles Rams,RB,todd mcshay,ESPN
53,Jaylon Johnson,Philadelphia Eagles,CB,todd mcshay,ESPN
54,Chase Claypool,Buffalo Bills,WR,todd mcshay,ESPN
55,Netane Muti,Baltimore Ravens,G,todd mcshay,ESPN
56,Jordan Elliott,Miami Dolphins,DT,todd mcshay,ESPN
57,Jeff Gladney,Houston Texans,CB,todd mcshay,ESPN
58,Terrell Lewis,Minnesota Vikings,OLB,todd mcshay,ESPN
59,Tyler Biadasz,Seattle Seahawks,C,todd mcshay,ESPN
60,Devin Duvernay,Baltimore Ravens,WR,todd mcshay,ESPN
61,Isaiah Wilson,Tennessee Titans,OT,todd mcshay,ESPN
62,Cam Akers,Green Bay Packers,RB,todd mcshay,ESPN
63,Noah Igbinoghene,Kansas City Chiefs,CB,todd mcshay,ESPN
64,Jason Strowbridge,Seattle Seahawks,DT,todd mcshay,ESPN
